year,gender,sg,age_group,region,ex-smoker,non-smoker,quitter,smoker,weight
2013.0,male,AB,0,SOUTH EAST,0.037,0.871,0.006,0.086,33.11
2013.0,male,AB,0,SOUTH WEST,0.036,0.787,0.045,0.132,24.998
2013.0,male,AB,0,WEST MIDLANDS,0.0,0.801,0.021,0.178,27.063
2013.0,male,AB,0,YORKSHIRE AND THE HUMBER,0.02,0.771,0.056,0.153,42.996
2013.0,male,AB,1,EAST,0.058,0.719,0.076,0.147,43.681
2013.0,male,AB,1,EAST MIDLANDS,0.147,0.712,0.005,0.136,51.565
2013.0,male,AB,1,LONDON,0.103,0.617,0.034,0.246,86.311
2013.0,male,AB,1,NORTH EAST,0.092,0.507,0.014,0.388,18.186
2013.0,male,AB,1,NORTH WEST,0.072,0.624,0.041,0.263,56.617
2013.0,male,AB,1,SOUTH EAST,0.197,0.67,0.022,0.111,73.341
2013.0,male,AB,1,SOUTH WEST,0.092,0.572,0.01,0.326,48.412
2013.0,male,AB,1,WEST MIDLANDS,0.0,0.859,0.0,0.141,28.287
2013.0,male,AB,1,YORKSHIRE AND THE HUMBER,0.028,0.777,0.01,0.185,59.491
2013.0,male,AB,2,EAST,0.216,0.683,0.04,0.061,82.576
2013.0,male,AB,2,EAST MIDLANDS,0.241,0.667,0.001,0.091,36.984
2013.0,male,AB,2,LONDON,0.08,0.761,0.023,0.137,71.455
2013.0,male,AB,2,NORTH EAST,0.101,0.79,0.0,0.109,32.155
2013.0,male,AB,2,NORTH WEST,0.068,0.742,0.004,0.186,62.269
2013.0,male,AB,2,SOUTH EAST,0.178,0.66,0.031,0.131,140.807
2013.0,male,AB,2,SOUTH WEST,0.141,0.611,0.026,0.222,72.896
2013.0,male,AB,2,WEST MIDLANDS,0.071,0.829,0.0,0.101,53.159
2013.0,male,AB,2,YORKSHIRE AND THE HUMBER,0.159,0.786,0.0,0.055,35.969
2013.0,male,AB,3,EAST,0.23,0.638,0.004,0.129,86.127
2013.0,male,AB,3,EAST MIDLANDS,0.246,0.647,0.033,0.072,40.774
2013.0,male,AB,3,LONDON,0.173,0.812,0.001,0.014,72.196
2013.0,male,AB,3,NORTH EAST,0.26,0.557,0.051,0.131,41.331
2013.0,male,AB,3,NORTH WEST,0.12,0.666,0.016,0.198,63.957
2013.0,male,AB,3,SOUTH EAST,0.288,0.608,0.003,0.101,93.208
2013.0,male,AB,3,SOUTH WEST,0.386,0.483,0.003,0.129,61.241
2013.0,male,AB,3,WEST MIDLANDS,0.31,0.62,0.003,0.067,37.253
2013.0,male,AB,3,YORKSHIRE AND THE HUMBER,0.159,0.719,0.002,0.12,46.509
2013.0,male,AB,4,EAST,0.371,0.613,0.013,0.003,79.333
2013.0,male,AB,4,EAST MIDLANDS,0.263,0.557,0.005,0.175,28.602
2013.0,male,AB,4,LONDON,0.207,0.642,0.004,0.147,51.035
2013.0,male,AB,4,NORTH EAST,0.345,0.51,0.004,0.141,25.918
2013.0,male,AB,4,NORTH WEST,0.155,0.601,0.003,0.24,59.131
2013.0,male,AB,4,SOUTH EAST,0.375,0.561,0.002,0.062,79.917
2013.0,male,AB,4,SOUTH WEST,0.351,0.573,0.028,0.048,62.589
2013.0,male,AB,4,WEST MIDLANDS,0.412,0.537,0.002,0.048,40.919
2013.0,male,AB,4,YORKSHIRE AND THE HUMBER,0.134,0.733,0.004,0.129,60.155
2013.0,male,AB,5,EAST,0.449,0.531,0.014,0.006,133.468
2013.0,male,AB,5,EAST MIDLANDS,0.354,0.53,0.031,0.086,70.893
2013.0,male,AB,5,LONDON,0.304,0.64,0.013,0.043,53.418
2013.0,male,AB,5,NORTH EAST,0.31,0.607,0.003,0.081,26.114
2013.0,male,AB,5,NORTH WEST,0.4,0.505,0.027,0.068,52.531
2013.0,male,AB,5,SOUTH EAST,0.499,0.419,0.009,0.073,157.485
2013.0,male,AB,5,SOUTH WEST,0.403,0.546,0.001,0.05,115.768
2013.0,male,AB,5,WEST MIDLANDS,0.431,0.528,0.001,0.04,66.674
2013.0,male,AB,5,YORKSHIRE AND THE HUMBER,0.346,0.552,0.002,0.1,76.294
2013.0,male,C1,0,EAST,0.011,0.783,0.005,0.201,56.554
2013.0,male,C1,0,EAST MIDLANDS,0.064,0.743,0.004,0.189,41.75
2013.0,male,C1,0,LONDON,0.012,0.808,0.014,0.165,86.548
2013.0,male,C1,0,NORTH EAST,0.024,0.692,0.041,0.243,18.002
2013.0,male,C1,0,NORTH WEST,0.023,0.663,0.027,0.286,95.634
2013.0,male,C1,0,SOUTH EAST,0.053,0.692,0.007,0.248,68.317
2013.0,male,C1,0,SOUTH WEST,0.112,0.737,0.013,0.138,50.298
2013.0,male,C1,0,WEST MIDLANDS,0.041,0.741,0.042,0.176,36.092
2013.0,male,C1,0,YORKSHIRE AND THE HUMBER,0.036,0.682,0.02,0.261,68.126
2013.0,male,C1,1,EAST,0.117,0.571,0.026,0.287,66.604
2013.0,male,C1,1,EAST MIDLANDS,0.034,0.518,0.058,0.389,28.55
2013.0,male,C1,1,LONDON,0.076,0.724,0.008,0.192,161.492
2013.0,male,C1,1,NORTH EAST,0.165,0.607,0.002,0.226,14.416
