year,gender,sg,age_group,region,ex-smoker,non-smoker,quitter,smoker,weight
2015.0,female,E,5,SOUTH EAST,0.282,0.663,0.0,0.055,19.475
2015.0,female,E,5,SOUTH WEST,0.154,0.797,0.002,0.047,52.534
2015.0,female,E,5,WEST MIDLANDS,0.174,0.597,0.033,0.196,26.631
2015.0,female,E,5,YORKSHIRE AND THE HUMBER,0.194,0.563,0.005,0.238,30.928
2015.0,male,AB,0,EAST,0.094,0.657,0.07,0.179,42.062
2015.0,male,AB,0,EAST MIDLANDS,0.0,0.903,0.09,0.007,16.115
2015.0,male,AB,0,LONDON,0.045,0.865,0.02,0.069,41.671
2015.0,male,AB,0,NORTH EAST,0.0,0.802,0.0,0.198,15.162
2015.0,male,AB,0,NORTH WEST,0.0,0.695,0.039,0.266,32.868
2015.0,male,AB,0,SOUTH EAST,0.08,0.831,0.004,0.084,23.201
2015.0,male,AB,0,SOUTH WEST,0.0,0.78,0.003,0.218,39.15
2015.0,male,AB,0,WEST MIDLANDS,0.066,0.797,0.001,0.134,16.615
2015.0,male,AB,0,YORKSHIRE AND THE HUMBER,0.0,0.756,0.006,0.238,18.243
2015.0,male,AB,1,EAST,0.043,0.852,0.002,0.103,47.416
2015.0,male,AB,1,EAST MIDLANDS,0.137,0.639,0.087,0.137,26.528
2015.0,male,AB,1,LONDON,0.094,0.788,0.03,0.088,110.103
2015.0,male,AB,1,NORTH EAST,0.129,0.824,0.001,0.046,18.998
2015.0,male,AB,1,NORTH WEST,0.042,0.704,0.003,0.251,52.652
2015.0,male,AB,1,SOUTH EAST,0.038,0.795,0.002,0.165,65.564
2015.0,male,AB,1,SOUTH WEST,0.171,0.614,0.007,0.207,55.025
2015.0,male,AB,1,WEST MIDLANDS,0.114,0.723,0.005,0.158,29.753
2015.0,male,AB,1,YORKSHIRE AND THE HUMBER,0.091,0.71,0.031,0.168,60.327
2015.0,male,AB,2,EAST,0.1,0.856,0.0,0.044,35.014
2015.0,male,AB,2,EAST MIDLANDS,0.162,0.678,0.006,0.154,34.275
2015.0,male,AB,2,LONDON,0.121,0.71,0.036,0.133,109.76
2015.0,male,AB,2,NORTH EAST,0.0,0.842,0.004,0.154,31.399
2015.0,male,AB,2,NORTH WEST,0.254,0.626,0.005,0.115,69.951
2015.0,male,AB,2,SOUTH EAST,0.227,0.489,0.078,0.206,68.122
2015.0,male,AB,2,SOUTH WEST,0.254,0.629,0.058,0.059,33.759
2015.0,male,AB,2,WEST MIDLANDS,0.073,0.75,0.005,0.172,43.501
2015.0,male,AB,2,YORKSHIRE AND THE HUMBER,0.26,0.614,0.019,0.108,57.917
2015.0,male,AB,3,EAST,0.294,0.596,0.045,0.065,71.975
2015.0,male,AB,3,EAST MIDLANDS,0.288,0.677,0.004,0.032,33.091
2015.0,male,AB,3,LONDON,0.295,0.618,0.014,0.074,71.656
2015.0,male,AB,3,NORTH EAST,0.483,0.317,0.006,0.195,22.032
2015.0,male,AB,3,NORTH WEST,0.188,0.71,0.015,0.088,58.918
2015.0,male,AB,3,SOUTH EAST,0.146,0.717,0.002,0.135,83.634
2015.0,male,AB,3,SOUTH WEST,0.26,0.584,0.005,0.152,58.679
2015.0,male,AB,3,WEST MIDLANDS,0.135,0.724,0.001,0.141,31.716
2015.0,male,AB,3,YORKSHIRE AND THE HUMBER,0.217,0.68,0.014,0.088,63.646
2015.0,male,AB,4,EAST,0.361,0.529,0.027,0.083,64.907
2015.0,male,AB,4,EAST MIDLANDS,0.221,0.608,0.034,0.137,30.92
2015.0,male,AB,4,LONDON,0.072,0.735,0.02,0.172,32.484
2015.0,male,AB,4,NORTH EAST,0.298,0.678,0.0,0.024,28.2
2015.0,male,AB,4,NORTH WEST,0.363,0.523,0.018,0.097,40.963
2015.0,male,AB,4,SOUTH EAST,0.297,0.593,0.006,0.103,92.355
2015.0,male,AB,4,SOUTH WEST,0.231,0.741,0.0,0.028,71.294
2015.0,male,AB,4,WEST MIDLANDS,0.266,0.689,0.001,0.044,27.222
2015.0,male,AB,4,YORKSHIRE AND THE HUMBER,0.284,0.577,0.005,0.133,54.88
2015.0,male,AB,5,EAST,0.404,0.547,0.002,0.048,85.568
2015.0,male,AB,5,EAST MIDLANDS,0.266,0.63,0.003,0.101,29.805
2015.0,male,AB,5,LONDON,0.297,0.652,0.015,0.036,43.006
2015.0,male,AB,5,NORTH EAST,0.479,0.372,0.001,0.148,18.955
2015.0,male,AB,5,NORTH WEST,0.326,0.542,0.025,0.107,74.43
2015.0,male,AB,5,SOUTH EAST,0.526,0.446,0.007,0.022,188.088
2015.0,male,AB,5,SOUTH WEST,0.344,0.579,0.002,0.075,117.139
2015.0,male,AB,5,WEST MIDLANDS,0.428,0.506,0.004,0.063,58.268
2015.0,male,AB,5,YORKSHIRE AND THE HUMBER,0.353,0.574,0.001,0.072,59.024
2015.0,male,C1,0,EAST,0.014,0.785,0.028,0.173,46.537
2015.0,male,C1,0,EAST MIDLANDS,0.0,0.75,0.007,0.243,43.656
2015.0,male,C1,0,LONDON,0.038,0.779,0.028,0.156,78.034
2015.0,male,C1,0,NORTH EAST,0.0,0.889,0.002,0.109,10.876
2015.0,male,C1,0,NORTH WEST,0.024,0.695,0.017,0.265,108.146
2015.0,male,C1,0,SOUTH EAST,0.0,0.687,0.077,0.236,50.666
2015.0,male,C1,0,SOUTH WEST,0.0,0.643,0.045,0.312,27.741
2015.0,male,C1,0,WEST MIDLANDS,0.075,0.763,0.002,0.16,35.364
2015.0,male,C1,0,YORKSHIRE AND THE HUMBER,0.063,0.752,0.019,0.167,53.384
2015.0,male,C1,1,EAST,0.064,0.495,0.027,0.414,68.364
2015.0,male,C1,1,EAST MIDLANDS,0.142,0.638,0.05,0.17,53.815
2015.0,male,C1,1,LONDON,0.075,0.704,0.035,0.186,126.729
2015.0,male,C1,1,NORTH EAST,0.0,0.839,0.011,0.15,22.24
2015.0,male,C1,1,NORTH WEST,0.154,0.518,0.044,0.284,78.986
